Jaar(m),Politie geregistreerd,Werkelijk aantal,Voorlopig,Definitief
,A,B,C,D
,REG,FIN,PREDC,FINDC
2019(10),61,68,70,70
2019(11),47,46,45,45
2019(12),54,60,52,52
2020(1),38,46,48,45
2020(2),34,40,44,42
2020(3),44,47,47,47
2020(4),51,56,54,54
2020(5),53,60,50,51
2020(6),48,61,47,54
2020(7),47,58,58,59
2020(8),47,54,49,49
2020(9),42,52,49,52
2020(10),29,38,35,40
2020(11),46,54,49,51
2020(12),36,44,46,46
2021(1),23,27,28,28
2021(2),24,29,25,23
2021(3),41,43,48,44
2021(4),37,40,43,41
2021(5),51,52,47,47
2021(6),49,52,54,52
2021(7),60,67,59,63
2021(8),42,48,50,48
2021(9),52,59,49,49
2021(10),36,45,47,47
2021(11),52,68,66,66
2021(12),42,52,51,51
2022(1),,45,44,
2022(2),,45,46,
2022(3),,56,55,
2022(4),,48,44,
2022(5),,69,69,
2022(6),,77,75,
2022(7),,73,75,
2022(8),,83,80,
2022(9),,66,64,
2022(10),,70,69,
2022(11),,54,49,
2022(12),,51,50,
2023(1),,,36,
2023(2),,,32,
2023(3),,,,
2023(4),,,,
2023(5),,,,
2023(6),,,,
2023(7),,,,
2023(8),,,,
2023(9),,,,
2023(10),,,,
2023(11),,,,
2023(12),,,,
